city,gcode,lat,long
Saint avertin,"Saint-Avertin, Arrondissement de Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37550, France",47.3577,0.739923
Tarascon,"Tarascon-sur-Ariège, Foix, Ariège, Occitanie, France métropolitaine, 09400, France",42.8458016,1.6067586
Nantes,"Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France",47.2186371,-1.5541362
Puygouzon,"Puygouzon, Albi, Tarn, Occitanie, France métropolitaine, 81990, France",43.88783805,2.169829029490022
Toulouse,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6044622,1.4442469
Talence,"Talence, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33400, France",44.8088438,-0.5879629
Balma,"Balma, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31130, France",43.6112217,1.5057917
Reze,"Rezé, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44400, France",47.1905456,-1.5695287
Chatellerault,"Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86100, France",46.8180047,0.545812
Tours,"Tours, Arrondissement de Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, France",47.3900474,0.6889268
Montaigu Bouffere,"Boufféré, Montaigu-Vendée, La Roche-sur-Yon, Vendée, Pays de la Loire, France métropolitaine, 85600, France",46.9624742,-1.3391297
Bourges,"Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18000, France",47.0811658,2.399125
Frejus,"Fréjus, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.4330308,6.7360182
Mougins,"Mougins, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06250, France",43.6008898,6.9963543
MARIGNANE,"Marignane, Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13700, France",43.4162729,5.2146275
Pradetan,"Tennis pradétan, Rue Léo Lagrange, Lotissement Les Calanques du Pin de Galle, Le Pin de Galle, Village du Pradet, Le Pradet, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83220, France",43.10524215,6.01470998131381
Arles,"Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.6776223,4.6309653
Nice,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.7009358,7.2683912
Ollioules,"Ollioules, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83190, France",43.1397205,5.8483538
MANDELIEU LA NAPOULE,"Mandelieu-la-Napoule, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06210, France",43.5439153,6.9359135
Martigues,"Martigues, Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.4057279,5.0548176
Cannes,"Cannes, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.5515198,7.0134418
